2016/04/12 14:06:05
Results for 50 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,sample.Walls,22551 (33%),12500,2500,6654,841,43,12,50,0,0
2nd,sample.Tracker,13148 (19%),7400,0,5053,634,61,0,0,25,9
3rd,sample.SpinBot,12120 (18%),6400,0,5457,188,76,0,0,11,16
4th,sample.VelociRobot,11759 (17%),6950,0,4088,187,510,24,0,13,20
5th,sample.TrackFire,7060 (10%),2250,0,4494,317,0,0,0,1,3
6th,sample.Target,1963 (3%),1950,0,0,0,13,0,0,0,2
$
